genre,song_name,danceability,energy,loudness,valence,,,,,,,
Pop,As Long As You Love Me,0.579,0.871,-3.385,0.601,,,,,,,
Pop,Love Song,0.583,0.786,-3.142,0.573,,,,,,,
Pop,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",0.893,0.745,-3.105,0.872,,,,,,,
Pop,Rather Be (feat. Jess Glynne),0.799,0.586,-6.735,0.549,,,,,,,
Pop,One Dance,0.792,0.625,-5.609,0.37,,,,,,,
Pop,Don't Cha,0.875,0.631,-3.475,0.549,,,,,,,
Pop,Loved by You,0.471,0.646,-4.37,0.415,,,,,,,
Pop,Animals,0.279,0.742,-6.46,0.328,,,,,,,
Pop,Sk8er Boi,0.487,0.9,-4.417,0.484,,,,,,,
Pop,Raise Your Glass,0.7,0.695,-4.973,0.633,,,,,,,
Pop,Kissing Strangers,0.776,0.741,-5.804,0.854,,,,,,,
Pop,Somewhere Only We Know,0.445,0.59,-6.747,0.334,,,,,,,
Pop,Boom Clap,0.659,0.911,-2.28,0.576,,,,,,,
Pop,This Is How We Do,0.69,0.636,-6.028,0.8,,,,,,,
Pop,Crazy In Love (feat. Jay-Z),0.646,0.77,-6.596,0.681,,,,,,,
Pop,I Kissed A Girl,0.699,0.76,-3.173,0.696,,,,,,,
Pop,Bad Romance,0.696,0.921,-3.755,0.714,,,,,,,
Pop,Somebody That I Used To Know,0.865,0.521,-6.932,0.748,,,,,,,
Pop,Forest,0.709,0.737,-6.515,0.707,,,,,,,
Pop,Umbrella,0.585,0.836,-4.572,0.579,,,,,,,
Pop,Lost Again,0.812,0.614,-5.063,0.11,,,,,,,
Pop,Shallow - Radio Edit,0.575,0.33,-6.557,0.277,,,,,,,
Pop,FourFiveSeconds,0.582,0.272,-5.662,0.354,,,,,,,
Pop,Someone You Loved,0.501,0.405,-5.679,0.446,,,,,,,
Pop,On Fire,0.653,0.821,-8.318,0.14,,,,,,,
Pop,Where Is the Love (Wave Remix),0.793,0.645,-9.815,0.365,,,,,,,
Pop,See You Again (feat. Charlie Puth),0.689,0.481,-7.503,0.283,,,,,,,
Pop,Photograph,0.614,0.379,-10.48,0.201,,,,,,,
Pop,Like I'm Gonna Lose You (feat. John Legend),0.63,0.53,-7.259,0.417,,,,,,,
Pop,Back To You - From 13 Reasons Why â€“ Season 2 Soundtrack,0.601,0.724,-4.856,0.508,,,,,,,
Pop,Out Of Love,0.481,0.267,-9.249,0.137,,,,,,,
Pop,Da Funk,0.84,0.83,-5.217,0.695,,,,,,,
Pop,Young Ones - RudeLies Remix,0.661,0.943,-2.52,0.71,,,,,,,
Pop,Flowers - RudeLies Remix,0.655,0.899,-2.314,0.707,,,,,,,
Pop,Youth Memories,0.678,0.355,-10.102,0.158,,,,,,,
Pop,Locked out of Heaven,0.726,0.698,-4.165,0.867,,,,,,,
Pop,Out of My Head,0.572,0.802,-5.286,0.555,,,,,,,
Pop,Flowers,0.754,0.652,-4.924,0.474,,,,,,,
Pop,Stay With Me,0.42,0.435,-6.437,0.165,,,,,,,
Pop,I Miss You,0.52,0.789,-7.717,0.416,,,,,,,
Pop,When I Was Your Man,0.612,0.28,-8.648,0.387,,,,,,,
Pop,Blow Me (One Last Kiss),0.597,0.919,-2.954,0.73,,,,,,,
Pop,I Just Wanna Say,0.669,0.8,-5.609,0.179,,,,,,,
Pop,Three Trees,0.672,0.628,-7.203,0.159,,,,,,,
Pop,Psycho,0.604,0.851,-7.593,0.144,,,,,,,
Pop,Timber (feat. Ke$ha),0.581,0.963,-4.087,0.788,,,,,,,
Pop,S&M,0.767,0.682,-5.02,0.833,,,,,,,
Pop,BeyoncÃ©,0.771,0.523,-7.62,0.439,,,,,,,
Pop,Famous,0.76,0.398,-7.296,0.429,,,,,,,
Pop,Low Low,0.81,0.652,-10.595,0.607,,,,,,,
Pop,Big Girls Don't Cry (Personal),0.705,0.494,-8.83,0.287,,,,,,,
Pop,Just Dance,0.818,0.732,-4.474,0.679,,,,,,,
Pop,Girlfriend,0.56,0.959,-2.433,0.67,,,,,,,
Pop,It's You,0.776,0.592,-7.507,0.43,,,,,,,
Pop,See You Again (feat. Charlie Puth),0.689,0.481,-7.503,0.283,,,,,,,
Pop,Let You Go,0.677,0.879,-4.361,0.725,,,,,,,
Pop,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",0.671,0.939,-3.206,0.529,,,,,,,
Pop,Want to Want Me,0.775,0.68,-5.508,0.656,,,,,,,
Pop,Over You,0.538,0.847,-5.531,0.692,,,,,,,
Pop,W.Y.K.Y.K,0.794,0.478,-10.862,0.484,,,,,,,
Pop,Firework,0.638,0.832,-5.039,0.648,,,,,,,
Pop,Iris,0.668,0.758,-9.36,0.0594,,,,,,,
Pop,In Your Eyes,0.814,0.788,-5.9,0.46,,,,,,,
Pop,Blurred Lines,0.861,0.504,-7.707,0.881,,,,,,,
Pop,Where Is the Love,0.701,0.942,-2.253,0.57,,,,,,,
